dataset,cpu_status,gpu_status,cpu_objective,gpu_objective,cpu_mean_s,gpu_mean_s,speedup_cpu_over_gpu,objective_abs_diff,objective_rel_diff,status_match
25fv47.mps,OPTIMAL,INFEASIBLE,5501.845888286757,,0.35338536999188364,1.320593,0.2675959739237476,,,False
adlittle.mps,OPTIMAL,OPTIMAL,225494.9631623803,225494.963162,0.00430515012703836,0.012461,0.34548993877203754,3.802997525781393e-07,1.6865110743262283e-12,True
afiro.mps,OPTIMAL,OPTIMAL,-464.75314285714285,-464.753143,0.0015363050624728203,0.002336,0.6576648383873375,1.4285717497841688e-07,3.073829132174986e-10,True
bandm.mps,OPTIMAL,OPTIMAL,-158.62801845012078,-158.628018,0.021804654970765114,0.370448,0.05886023131658185,4.5012077976025466e-07,2.837586853559488e-09,True
blend.mps,OPTIMAL,OPTIMAL,-30.812149845828237,-30.81215,0.0046719450037926435,0.012535,0.37271200668469434,1.5417176157939139e-07,5.003602875839747e-09,True
degen3.mps,OPTIMAL,INFEASIBLE,-987.2940000000007,,0.3867844268679619,5.014718,0.07712984595902737,,,False
sc50a.mps,OPTIMAL,OPTIMAL,-64.5750770585645,-64.575077,0.002026377012953162,0.005167,0.3921767007844324,5.8564509686220845e-08,9.069212512608766e-10,True
sctap3.mps,OPTIMAL,ERROR,1424.0,,0.03804413718171418,5.373078,0.007080510869507977,,,False
share2b.mps,OPTIMAL,OPTIMAL,-415.73224074141945,-415.732241,0.005322552053257823,0.013071,0.40720312548831944,2.585805418675591e-07,6.219881850067846e-10,True
